#depth	LID	stdev (%)
depth	LID	rel_unc	comment
1681.483	64.8395	0.1
1682.719	64.899	0.1
1683.955	65.0067	0.1
1684.885	65.1142	0.1
1685.925	65.1361	0.1
1686.953	65.161	0.1
1688.157	65.2025	0.1
1689.229	65.1775	0.1
1690.399	65.0778	0.1
1691.396	64.9592	0.1
1692.5	64.8461	0.1
1693.583	64.8384	0.1
1694.776	64.7935	0.1
1695.915	64.7382	0.1
1696.877	64.694	0.1
1697.927	64.5604	0.1
1698.977	64.3774	0.1
1700.028	64.259	0.1
1701.056	64.1948	0.1
1702.073	64.1918	0.1
1703.124	64.2688	0.1
1704.294	64.312	0.1
1705.323	64.2297	0.1
1706.395	64.0239	0.1
1707.533	63.8794	0.1
1708.518	63.7944	0.1
1709.535	63.9251	0.1
1710.531	64.0195	0.1
1711.614	63.9957	0.1
1712.632	63.9202	0.1
1713.638	63.8257	0.1
1714.732	63.8228	0.1
1715.673	63.7841	0.1
1716.701	63.6791	0.1
1717.708	63.4598	0.1
1718.791	63.3153	0.1
1719.798	63.2535	0.1
1720.772	63.2875	0.1
1721.789	63.3833	0.1
1722.828	63.4095	0.1
1723.835	63.4208	0.1
1724.94	63.4811	0.1
1725.968	63.4716	0.1
1726.986	63.4311	0.1
1728.058	63.3044	0.1
1729.185	63.1435	0.1
1730.235	63.0614	0.1
1731.286	63.0037	0.1
1732.434	63.031	0.1
1733.321	63.1016	0.1
1734.305	63.1442	0.1
1735.29	63.2029	0.1
1736.289	63.2041	0.1
1737.314	63.2493	0.1
1738.354	63.3519	0.1
1739.459	63.4329	0.1
1740.553	63.5559	0.1
1741.537	63.6039	0.1
1742.664	63.6832	0.1
1743.813	63.8052	0.1
1744.852	63.9882	0.1
1745.903	64.1217	0.1
1747.019	64.1704	0.1
1748.124	64.2289	0.1
1749.207	64.2565	0.1
1750.312	64.3416	0.1
1751.319	64.3255	0.1
1752.402	64.2843	0.1
1753.496	64.2117	0.1
1754.677	64.1186	0.1
1755.728	64.2088	0.1
1756.756	64.3743	0.1
1757.719	64.6574	0.1
1758.912	64.9312	0.1
1759.973	65.1727	0.1
1760.979	65.36	0.1
1762.062	65.4697	0.1
1763.113	65.519	0.1
1764.129	65.5703	0.1
1765.201	65.5799	0.1
1766.239	65.5768	0.1
1767.288	65.6138	0.1
1768.368	65.6247	0.1
1769.404	65.6476	0.1
1770.496	65.6371	0.1
1771.494	65.5789	0.1
1772.387	65.5165	0.1
1773.488	65.5169	0.1
1774.562	65.5612	0.1
1775.663	65.5378	0.1
1776.641	65.4762	0.1
1777.832	65.3536	0.1
1778.937	65.3365	0.1
1780.078	65.3822	0.1
1781.022	65.4166	0.1
1781.908	65.4365	0.1
1782.902	65.4564	0.1
1783.896	65.4197	0.1
1784.967	65.4076	0.1
1786.03	65.4025	0.1
1786.996	65.3835	0.1
1788.011	65.4	0.1
1789.048	65.4626	0.1
1789.985	65.4384	0.1
1791.042	65.4398	0.1
1792.067	65.3604	0.1
1793.109	65.303	0.1
1794.201	65.3759	0.1
1795.303	65.4867	0.1
1796.349	65.5972	0.1
1797.354	65.5784	0.1
1798.364	65.5224	0.1
1799.36	65.4051	0.1
1800.298	65.2427	0.1
1801.27	64.9761	0.1
1802.299	64.6838	0.1
1803.269	64.618	0.1
