#ice dated horizons for WDC. From WAIS WD2014 Chronology. https://doi.pangaea.de/10.1594/PANGAEA.902577		
#depth (m) 	Cal age [a BP] (ice age)	Cal age std e
344.989	1346	2.4
345.23	1347	2.4
345.394	1348	2.4
345.624	1349	2.4
345.93	1350	2.4
346.116	1351	2.4
346.401	1352	2.4
346.674	1353	2.4
346.882	1354	2.4
347.09	1355	2.4
347.363	1356	2.4
347.593	1357	2.4
347.845	1358	2.4
348.075	1359	2.4
348.293	1360	2.4
348.622	1361	2.4
348.829	1362	2.4
349.048	1363	2.4
349.223	1364	2.4
349.464	1365	2.4
349.705	1366	2.4
349.902	1367	2.4
350.164	1368	2.4
350.372	1369	2.4
350.624	1370	2.4
350.821	1371	2.4
351.05	1372	2.4
351.258	1373	2.4
351.444	1374	2.4
351.707	1375	2.4
352.002	1376	2.5
352.265	1377	2.5
352.462	1378	2.5
352.637	1379	2.5
352.845	1380	2.5
352.998	1381	2.5
353.217	1382	2.5
353.447	1383	2.5
353.654	1384	2.5
353.906	1385	2.5
354.114	1386	2.5
354.333	1387	2.5
354.606	1388	2.5
354.924	1389	2.5
355.186	1390	2.5
355.46	1391	2.5
355.733	1392	2.5
355.996	1393	2.5
356.226	1394	2.5
356.422	1395	2.5
356.718	1396	2.5
356.937	1397	2.5
357.177	1398	2.5
357.352	1399	2.5
357.593	1400	2.5
357.889	1401	2.5
358.064	1402	2.5
358.37	1403	2.5
358.709	1404	2.5
358.895	1405	2.5
359.201	1406	2.5
359.497	1407	2.5
359.672	1408	2.5
359.945	1409	2.5
360.175	1410	2.5
360.471	1411	2.5
360.646	1412	2.5
360.93	1413	2.5
361.105	1414	2.5
361.39	1415	2.5
361.576	1416	2.5
361.904	1417	2.5
362.134	1418	2.5
362.374	1419	2.5
362.659	1420	2.6
362.867	1421	2.6
363.075	1422	2.6
363.414	1423	2.6
363.611	1424	2.6
363.797	1425	2.6
364.059	1426	2.6
364.289	1427	2.6
364.53	1428	2.6
364.825	1429	2.6
365.022	1430	2.6
365.339	1431	2.6
365.536	1432	2.6
365.81	1433	2.6
366.105	1434	2.6
366.335	1435	2.6
366.565	1436	2.6
366.816	1437	2.6
367.013	1438	2.6
367.254	1439	2.6
367.451	1440	2.6
367.703	1441	2.6
367.899	1442	2.6
368.118	1443	2.6
368.293	1444	2.6
368.6	1445	2.6
368.775	1446	2.6
369.07	1447	2.6
369.333	1448	2.6
369.519	1449	2.6
369.792	1450	2.6
370.066	1451	2.6
370.274	1452	2.6
